Vuln,test #,detect,patch,time,,,2 iters test****,detect,patch,time,avg,,<- This trial is included in the paper,,,,,,,Vote Times,,Max/Min
,,,,,,,,,,,,,,,,,,,,8686961,,
,,,,,,,,,,,,,,,,,,,,8542353,,
,,,,,,,,,,,,,,,,,,,,8994318,,
,,,,,,,,,,,,,,,,,,,,7332713,,
,,,,,,,,,,,,,,,,,,,,8507316,,
,,,,,,,,,,,,,,,,,,,,8423461,,
,,,,,,,,,,,,,,,,,,,,8024231,,
,,,,,,,,,,,,,,,,,,,,7354005,,
,,,,,,,,,,,,,,,,,,,,7025385,,
,,,,,,,,,,,,,,,,,,,,7646238,,
,,,,,,,,,,,,,,,,,,,,7300683,,
,,,,,,,,,,,,,,,,,,,,8282379,,
,,,,,,,,,,,,,,,,,,,,7994876,,
,,,,,,,,,,,,,,,,,,,,8260311,,
,,,,,,,,,,,,,,,,,,,,9378686,,
,,,,,,,,,,,,,,,,,,,,5905798,,
,,,,,,,,,,,,,,,,,,,,8373756,,
,,,,,,,,,,,,,,,,,,,,5979698,,
,,,,,,,,,,,,,,,,,,,,7098654,,
,,,,,,,,,,,,,,,,,,,,8407713,,
,,,,,,,,,,,,,,,,,,,,7073989,,
,,,,,,,,,,,,,,,,,,,,8074314,,
,,,,,,,,,,,,,,,,,,,,9611017,,
,,,,,,,,,,,,,,,,,,,,5876109,,
,,,,,,,,,,,,,,,,,,,,9420024,,
,,,,,,,,,,,,,,,,,,,,8492870,,
,,,,,,,,,,,,,,,,,,,,8309020,,
,,,,,,,,,,,,,,,,,,,,8201750,,
,,,,,,,,,,,,,,,,,,,,6305789,,
,,,,,,,,,,,,,,,,,,,,5964641,,
,,,,,,,,,,,,,,,,,,,,6028194,,
,,,,,,,,,,,,,,,,,,,,8187963,,
,,,,,,,,,,,,,,,,,,,,7321463,,
,,,,,,,,,,,,,,,,,,,,7352202,,
,,,,,,,,,,,,,,,,,,,,5857384,,
,,,,,,,,,,,,,,,,,,,,7567891,,
,,,,,,,,,,,,,,,,,,,,6534299,,
,,,,,,,,,,,,,,,,,,,,6099441,,
,,,,,,,,,,,,,,,,,,,,7183330,,
,,,,,,,,,,,,,,,,,,,,6627254,,
,,,,,,,,,,,,,,,,,,,,6332211,,
,,,,,,,,,,,,,,,,,,,,7490708,,
,,,,,,,,,,,,,,,,,,,,7317434,,
,,,,,,,,,,,,,,,,,,,,6882961,,
,,,,,,,,,,,,,,,,,,,,6696859,,
,,,,,,,,,,,,,,,,,,,,6267666,,
,,,,,,,,,,,,,,,,,,,,7067996,,
,,,,,,,,,,,,,,,,,,,,6348407,,
,,,,,,,,,,,,,,,,,,,,6829223,,
,,,,,,,,,,,,,,,,,,,,6726363,,
,,,,,,,,,,,,,,,,,,,,7007311,,
,,,,,,,,,,,,,,,,,,,,8041601,,
,,,,,,,,,,,,,,,,,,,,6747692,,
,,,,,,,,,,,,,,,,,,,,8415367,,
,,,,,,,,,,,,,,,,,,,,8710128,,
,,,,,,,,,,,,,,,,,,,,7325461,,
,,,,,,,,,,,,,,,,,,,,6895573,,
,,,,,,,,,,,,,,,,,,,,7266568,,
,,,,,,,,,,,,,,,,,,,,6627087,,
,,,,,,,,,,,,,,,,,,,,6718581,,
,,,,,,,,,,,,,,,,,,,,8319363,,
,,,,,,,,,,,,,,,,,,,,6924261,,
,,,,,,,,,,,,,,,,,,,,9281489,,
,,,,,,,,,,,,,,,,,,,,8445513,,
,,,,,,,,,,,,,,,,,,,,7723916,,
,,,,,,,,,,,,,,,,,,,,8399659,,
,,,,,,,,,,,,,,,,,,,,10019003,,
,,,,,,,,,,,,,,,,,,,,9750204,,
,,,,,,,,,,,,,,,,,,,,10087666,,
,,,,,,,,,,,,,,,,,,,,8560928,,
,,,,,,,,,,,,,,,,,,,,9642913,,
,,,,,,,,,,,,,,,,,,,,8192873,,
,,,,,,,,,,,,,,,,,,,,8885959,,
,,,,,,,,,,,,,,,,,,,,7450149,,
,,,,,,,,,,,,,,,,,,,,7132264,,
,,,,,,,,,,,,,,,,,,,,8091756,,
,,,,,,,,,,,,,,,,,,,,7857806,,
,,,,,,,,,,,,,,,,,,,,6530340,,
,,,,,,,,,,,,,,,,,,,,7497106,,
,,,,,,,,,,,,,,,,,,,,7740838,,
,,,,,,,,,,,,,,,,,,,,9763692,,
,,,,,,,,,,,,,,,,,,,,8991905,,
,,,,,,,,,,,,,,,,,,,,9946219,,
,,,,,,,,,,,,,,,,,,,,8712538,,
,,,,,,,,,,,,,,,,,,,,7890155,,
,,,,,,,,,,,,,,,,,,,,9880982,,
,,,,,,,,,,,,,,,,,,,,8270547,,
,,,,,,,,,,,,,,,,,,,,9216464,,
,,,,,,,,,,,,,,,,,,,,8626060,,
,,,,,,,,,,,,,,,,,,,,8004087,,
,,,,,,,,,,,,,,,,,,,,8995887,,
,,,,,,,,,,,,,,,,,,,,8181668,,
,,,,,,,,,,,,,,,,,,,,7119607,,
